     lat_deg     lon_deg    depth_km   length_km    width_km  slp_strk_m  slp_ddip_m    slp_am_m  strike_deg     dip_deg    rake_deg sig_stk_MPa sig_ddi_MPa sig_nrm_MPa
     32.7862    105.0746     27.0407      4.9843      4.4235     -0.0063      0.0000      0.0063    239.5886     17.9882    180.0000      0.2968     -0.0540     -0.0491
     32.8128    105.0391     28.3280      4.9831      4.4190      0.0000     -0.0000      0.0001    239.5998     15.8698     80.0000      0.1833     -0.0569     -0.0458
     32.8395    105.0033     29.4661      4.9820      4.4154      0.0000     -0.0000      0.0000    239.6108     13.9939     80.0000      0.1133     -0.0564     -0.0415
     32.5377    105.3293      1.9363      4.9945      4.5588     -0.5285     -0.1614      0.5526    239.4942     58.1539    163.0191      2.2937      0.2707      0.6356
     32.5540    105.3077      5.6687      4.9938      4.5377     -0.6006     -0.2634      0.6558    239.5011     52.3376    156.3207      2.1828     -0.4995      0.5764
     32.5724    105.2833      9.1146      4.9930      4.5173     -0.7400     -0.2938      0.7962    239.5094     46.9196    158.3457      1.1623     -0.9307      0.3434
     32.5927    105.2564     12.2673      4.9922      4.4985     -0.7984     -0.1923      0.8213    239.5187     41.9206    166.4586      0.3184     -0.6158      0.2033
     32.6144    105.2275     15.1296      4.9913      4.4816     -0.7172     -0.0631      0.7200    239.5288     37.3467    174.9747      0.0030     -0.1651      0.1031
     32.6373    105.1970     17.7119      4.9904      4.4671     -0.5402      0.0000      0.5402    239.5394     33.1921    180.0000      0.0511     -0.0202      0.0287
     32.6613    105.1651     20.0298      4.9894      4.4547     -0.3380      0.0000      0.3380    239.5503     29.4414    180.0000      0.2336     -0.1163     -0.0177
     32.6860    105.1321     22.1015      4.9884      4.4445     -0.1665      0.0000      0.1665    239.5614     26.0725    180.0000      0.3980     -0.0887     -0.0409
     32.7113    105.0983     23.9472      4.9874      4.4360     -0.0549      0.0000      0.0549    239.5726     23.0591    180.0000      0.4615     -0.0612     -0.0503
     32.7372    105.0638     25.5871      4.9863      4.4292     -0.0063      0.0000      0.0063    239.5838     20.3729    180.0000      0.3939     -0.0517     -0.0519
     32.7634    105.0287     27.0412      4.9852      4.4236      0.0000     -0.0000      0.0000    239.5950     17.9849     80.0000      0.2362     -0.0543     -0.0494
     32.7900    104.9932     28.3283      4.9841      4.4192      0.0000     -0.0001      0.0001    239.6061     15.8665     80.0000      0.1480     -0.0541     -0.0452
     32.8167    104.9574     29.4662      4.9830      4.4156      0.0000     -0.0001      0.0001    239.6172     13.9907     80.0000      0.1018     -0.0504     -0.0403
     32.5148    105.2835      1.9365      4.9882      4.5617     -1.7264      0.0000      1.7264    239.1414     58.1045    180.0000     -0.5712      0.7309      1.1192
     32.5311    105.2619      5.6692      4.9875      4.5415     -1.6529     -0.2100      1.6662    239.1482     52.2833    172.7610     -0.4039     -0.5641      0.9395
     32.5495    105.2375      9.1155      4.9868      4.5218     -1.4816     -0.2955      1.5108    239.1565     46.8627    168.7199     -0.4410     -1.2741      0.5259
     32.5697    105.2106     12.2682      4.9860      4.5037     -1.1902     -0.1967      1.2063    239.1657     41.8631    170.6158     -0.2414     -0.8505      0.2945
     32.5915    105.1817     15.1306      4.9851      4.4875     -0.8361     -0.0644      0.8386    239.1757     37.2903    175.5929      0.1065     -0.2732      0.1439
     32.6144    105.1512     17.7130      4.9842      4.4735     -0.4978     -0.0000      0.4978    239.1863     33.1379    179.9990      0.4390     -0.0412      0.0430
     32.6383    105.1193     20.0308      4.9832      4.4617     -0.2349      0.0000      0.2349    239.1971     29.3902    180.0000      0.6445     -0.1009     -0.0154
     32.6631    105.0864     22.1025      4.9822      4.4518     -0.0739      0.0000      0.0739    239.2081     26.0247    180.0000      0.6759     -0.0649     -0.0421
     32.6884    105.0525     23.9480      4.9812      4.4437     -0.0072      0.0000      0.0072    239.2192     23.0150    180.0000      0.5466     -0.0440     -0.0508
     32.7143    105.0180     25.5878      4.9801      4.4371     -0.0002      0.0000      0.0002    239.2303     20.3325    180.0000      0.3152     -0.0448     -0.0509
     32.7405    104.9829     27.0417      4.9790      4.4318     -0.0002      0.0000      0.0002    239.2414     17.9481    180.0000      0.1952     -0.0446     -0.0475
     32.7670    104.9474     28.3286      4.9779      4.4275      0.0000     -0.0000      0.0000    239.2524     15.8332     80.0000      0.1332     -0.0418     -0.0427
     32.7938    104.9116     29.4663      4.9768      4.4241      0.0000     -0.0000      0.0000    239.2634     13.9606     80.0000      0.0935     -0.0377     -0.0376
     32.4911    105.2391      1.9367      4.8805      4.5810     -3.2688      0.0000      3.2688    236.1981     57.7286    180.0000     -4.8336      0.8027      0.8022
     32.5074    105.2175      5.6698      4.8799      4.5670     -2.9299     -0.1636      2.9345    236.2047     51.8772    176.8044     -4.0634     -0.1362      0.5522
     32.5258    105.1930      9.1163      4.8792      4.5535     -2.3035     -0.2556      2.3176    236.2127     46.4435    173.6685     -2.4896     -0.8311      0.2027
     32.5460    105.1662     12.2693      4.8785      4.5410     -1.5919     -0.1979      1.6042    236.2218     41.4451    172.9139     -0.9460     -0.6403      0.0519
     32.5677    105.1373     15.1318      4.8777      4.5299     -0.9519     -0.0885      0.9560    236.2316     36.8845    174.6885      0.1539     -0.1959     -0.0192
     32.5907    105.1067     17.7142      4.8768      4.5203     -0.4641     -0.0150      0.4643    236.2419     32.7520    178.1464      0.7698      0.0686     -0.0551
     32.6146    105.0749     20.0319      4.8759      4.5121     -0.1572      0.0000      0.1572    236.2525     29.0291    180.0000      0.9655      0.0443     -0.0687
     32.6393    105.0419     22.1035      4.8750      4.5054     -0.0196      0.0000      0.0196    236.2632     25.6913    180.0000      0.8219      0.0107     -0.0685
     32.6647    105.0081     23.9489      4.8741      4.4998      0.0000     -0.0000      0.0000    236.2740     22.7101     80.0000      0.4676     -0.0023     -0.0624
     32.6905    104.9736     25.5885      4.8731      4.4953     -0.0001      0.0000      0.0001    236.2847     20.0559    180.0000      0.2762     -0.0122     -0.0549
     32.7168    104.9385     27.0422      4.8721      4.4916     -0.0001      0.0000      0.0001    236.2954     17.6987    180.0000      0.1814     -0.0148     -0.0477
     32.7433    104.9030     28.3289      4.8711      4.4886     -0.0001      0.0000      0.0001    236.3061     15.6095    180.0000      0.1238     -0.0147     -0.0411
     32.7701    104.8671     29.4664      4.8701      4.4863     -0.0001      0.0000      0.0001    236.3166     13.7605    180.0000      0.0861     -0.0138     -0.0351
     32.4663    105.1961      1.9369      4.8825      4.5873     -4.1364      0.0000      4.1364    235.1724     57.6143    180.0000     -6.3020      0.9478     -0.2121
     32.4826    105.1745      5.6704      4.8819      4.5752     -3.6353     -0.1081      3.6369    235.1790     51.7531    178.2965     -5.2965      0.3690     -0.2624
     32.5010    105.1501      9.1172      4.8812      4.5636     -2.7840     -0.1925      2.7907    235.1870     46.3151    176.0456     -3.3145     -0.1469     -0.3131
     32.5213    105.1232     12.2704      4.8805      4.5528     -1.8515     -0.1853      1.8607    235.1961     41.3167    174.2842     -1.3073     -0.2323     -0.2621
     32.5430    105.0943     15.1329      4.8797      4.5432     -1.0451     -0.1178      1.0517    235.2059     36.7595    173.5668      0.1452     -0.0589     -0.1902
     32.5659    105.0638     17.7154      4.8789      4.5349     -0.4639     -0.0466      0.4662    235.2162     32.6328    174.2632      0.9210      0.1278     -0.1328
     32.5899    105.0319     20.0331      4.8781      4.5279     -0.1270     -0.0070      0.1272    235.2268     28.9174    176.8668      1.1119      0.1821     -0.0948
     32.6146    104.9989     22.1045      4.8772      4.5221      0.0000     -0.0000      0.0000    235.2375     25.5878     80.0000      0.8676      0.1064     -0.0714
     32.6399    104.9651     23.9498      4.8762      4.5173     -0.0000      0.0000      0.0000    235.2482     22.6152    180.0000      0.4229      0.0593     -0.0570
     32.6658    104.9306     25.5892      4.8753      4.5134     -0.0001      0.0000      0.0001    235.2590     19.9696    180.0000      0.2563      0.0426     -0.0474
     32.6920    104.8955     27.0427      4.8743      4.5102      0.0000     -0.0000      0.0000    235.2696     17.6207     80.0000      0.1656      0.0349     -0.0400
     32.7186    104.8600     28.3292      4.8733      4.5076     -0.0001      0.0000      0.0001    235.2802     15.5392    180.0000      0.1086      0.0311     -0.0338
     32.7453    104.8242     29.4665      4.8724      4.5056      0.0000     -0.0002      0.0002    235.2907     13.6975     80.0000      0.0723      0.0256     -0.0286
     32.4420    105.1500      1.9371      5.3450      4.5526     -4.1981      0.0000      4.1981    240.5976     58.3186    180.0000     -5.4344     -0.2388      0.3378
     32.4583    105.1284      5.6710      5.3443      4.5288     -3.6868     -0.0638      3.6873    240.6046     52.5113    179.0088     -4.6444     -0.3305      0.5146
     32.4767    105.1039      9.1181      5.3435      4.5057     -2.8410     -0.1378      2.8443    240.6129     47.0955    177.2231     -2.9648     -0.5426      0.4124
     32.4969    105.0770     12.2714      5.3426      4.4843     -1.9080     -0.1687      1.9154    240.6223     42.0929    174.9469     -1.2037     -0.5987      0.2835
     32.5186    105.0481     15.1341      5.3416      4.4652     -1.0879     -0.1447      1.0974    240.6325     37.5114    172.4254      0.1401     -0.4390      0.1741
     32.5416    105.0176     17.7165      5.3406      4.4487     -0.4884     -0.0898      0.4966    240.6431     33.3462    169.5822      0.8927     -0.1707      0.0913
     32.5655    104.9857     20.0342      5.3395      4.4347     -0.1365     -0.0389      0.1420    240.6541     29.5832    164.0855      1.0903      0.0519      0.0352
     32.5902    104.9528     22.1056      5.3384      4.4230     -0.0004     -0.0134      0.0134    240.6653     26.2013     91.8636      0.8632      0.1349      0.0029
     32.6156    104.9189     23.9507      5.3373      4.4135      0.0017     -0.0096      0.0098    240.6766     23.1749     80.1707      0.4147      0.1109     -0.0122
     32.6414    104.8844     25.5900      5.3361      4.4057      0.0015     -0.0085      0.0086    240.6879     20.4761     80.0000      0.2408      0.1037     -0.0179
     32.6677    104.8494     27.0432      5.3349      4.3994      0.0015     -0.0085      0.0086    240.6992     18.0763     80.0000      0.1508      0.0913     -0.0191
     32.6942    104.8139     28.3296      5.3337      4.3944      0.0015     -0.0086      0.0087    240.7104     15.9470     80.0000      0.0976      0.0789     -0.0184
     32.7210    104.7780     29.4666      5.3325      4.3904      0.0022     -0.0125      0.0127    240.7216     14.0612     80.0000      0.0700      0.0159     -0.0166
